Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-10,18.93,20.83,18.889999,19.27,19.27,14023000,0
2022-02-11,19.299999,20.08,18.09,18.370001,18.370001,10814800,1
2022-02-14,18.360001,19.09,17.67,17.92,17.92,7381600,2
2022-02-15,19.059999,19.85,18.85,19.73,19.73,10252300,3
2022-02-16,19.134001,19.860001,18.959999,19.59,19.59,6371100,4
2022-02-17,19,19.34,17.6,17.76,17.76,7025300,5
2022-02-18,17.68,17.84,16.73,16.969999,16.969999,6579100,6
2022-02-22,16.114,16.996,15.71,15.95,15.95,7301500,7
2022-02-23,16.58,16.790001,15.02,15.07,15.07,7533100,8
2022-02-24,13.69,16.389999,13.63,16.25,16.25,12252600,9
2022-02-25,16.41,16.700001,15.585,16.219999,16.219999,7577600,10
2022-02-28,16.129999,17.799999,16.059999,17.23,17.23,13831600,11
2022-03-01,18.190001,18.219999,16.74,17.5,17.5,13192400,12
2022-03-02,17.389999,17.84,16.77,17.73,17.73,7997400,13
2022-03-03,17.59,17.889999,15.843,15.97,15.97,7159100,14
2022-03-04,15.73,16.290001,14.72,14.92,14.92,6567300,15
2022-03-07,15.05,15.725,14.66,14.95,14.95,8569000,16
2022-03-08,14.8,15.739,14.42,15.1,15.1,6858000,17
2022-03-09,16.08,17.18,16.038,16.84,16.84,10942800,18
2022-03-10,16.129999,16.74,15.83,16.51,16.51,6341100,19
2022-03-11,16.6,16.719999,15.09,15.14,15.14,5723900,20
2022-03-14,15,15.24,14.02,14.16,14.16,6032800,21
2022-03-15,14.2,14.97,13.57,14.91,14.91,4296400,22
2022-03-16,15.2,16.42,15.11,16.389999,16.389999,8028700,23
2022-03-17,16.120001,18.49,16.030001,18.43,18.43,10398100,24
2022-03-18,18.09,19.799999,17.879999,19.530001,19.530001,13580200,25
2022-03-21,19.575001,20.41,19.02,19.620001,19.620001,8611900,26
2022-03-22,20.459999,21.4,20.209999,20.75,20.75,9264400,27
2022-03-23,20.52,21.459999,19.945,20.84,20.84,7400900,28
2022-03-24,21.18,21.6,20.23,21.540001,21.540001,7709300,29
2022-03-25,22,22.27,20.32,20.76,20.76,7261400,30
2022-03-28,22.145,23.66,21.9,22.860001,22.860001,14306700,31
2022-03-29,23.08,23.108,21.58,23,23,8443900,32
2022-03-30,22.530001,22.98,21.75,22.040001,22.040001,5626500,33
2022-03-31,22.15,22.870001,21.120001,21.17,21.17,6034400,34
2022-04-01,20.6,21.379999,20.309999,20.73,20.73,8035100,35
2022-04-04,20.73,21.042999,20.370001,20.690001,20.690001,6410300,36
2022-04-05,20.75,21.01,19.16,19.23,19.23,6467100,37
2022-04-06,18.540001,18.674999,17.379999,17.66,17.66,9199600,38
2022-04-07,17.559999,17.98,16.77,17.42,17.42,6392800,39
2022-04-08,17.129999,17.51,16.620001,16.68,16.68,6101400,40
2022-04-11,16.1,16.450001,15.47,15.91,15.91,5646700,41
2022-04-12,16.299999,16.940001,15.37,15.47,15.47,6857800,42
2022-04-13,15.45,16.1,15.31,16.01,16.01,6376600,43
